                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0755,                0.66722,                 1.0433,                0.92342,                0.85267,                 0.9097,                0.64336,                0.94577,                0.47287,                  1.096,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.0553,                0.65406,                 1.0349,                0.92499,                0.84367,                0.89961,                0.63752,                0.99956,                0.50276,                 1.1337,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.0481,                0.64397,                 1.0355,                 0.9186,                0.86352,                 0.9115,                 0.6423,                0.97136,                0.50142,                   1.11,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.0465,                0.64866,                 1.0308,                0.91104,                 0.8575,                0.90885,                0.64941,                0.95521,                0.49583,                 1.0996,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.0494,                0.63859,                 1.0329,                0.91481,                0.85982,                0.90587,                 0.6482,                  0.959,                0.52171,                 1.1087,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.0399,                 0.6411,                  1.028,                0.92574,                0.84401,                0.90596,                0.63043,                0.99859,                0.51877,                 1.1179,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.0277,                0.63319,                 1.0227,                0.92714,                0.86458,                0.91362,                0.65651,                0.93163,                0.46656,                 1.0874,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.0237,                0.62596,                 1.0251,                0.93765,                 0.8632,                0.91218,                0.66292,                0.91329,                0.47092,                 1.0771,              0.0010069,              0.0010069,              0.0010069
                     43,                  1.024,                 0.6175,                 1.0134,                0.92978,                0.85066,                0.91137,                0.64543,                0.96719,                0.47977,                  1.099,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.0159,                0.61501,                 1.0156,                0.92298,                0.85809,                0.90436,                0.64458,                0.96126,                0.48372,                 1.1126,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.0015,                0.60137,                 1.0133,                0.91896,                0.86576,                 0.9117,                0.64493,                0.97063,                0.48192,                 1.1116,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.0125,                0.61201,                 1.0129,                0.92292,                0.86309,                0.90931,                0.66126,                0.94366,                0.47186,                 1.0941,             0.00094085,             0.00094085,             0.00094085
                     47,                0.98677,                  0.611,                 1.0181,                0.93129,                0.87446,                0.91372,                0.65039,                0.98472,                0.47933,                 1.1255,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.0027,                0.60814,                 1.0138,                0.89147,                 0.8674,                0.90593,                0.63116,                 1.0014,                 0.5284,                 1.1252,             0.00090785,             0.00090785,             0.00090785
                     49,                0.98023,                0.59638,                 1.0062,                0.92761,                0.86214,                0.91028,                0.64918,                0.93987,                0.49552,                 1.0915,             0.00089134,             0.00089134,             0.00089134
                     50,                0.97599,                0.58229,                0.99375,                0.91864,                0.86722,                0.91342,                0.64798,                0.96852,                0.45261,                  1.098,             0.00087484,             0.00087484,             0.00087484
                     51,                 0.9699,                  0.582,                 1.0024,                0.92691,                0.87087,                0.91782,                0.65764,                0.97197,                0.45314,                 1.1056,             0.00085834,             0.00085834,             0.00085834
                     52,                0.97907,                0.58395,                0.99861,                0.92176,                0.85435,                0.91216,                0.63333,                 1.0016,                0.46647,                  1.111,             0.00084184,             0.00084184,             0.00084184
                     53,                0.95249,                 0.5717,                0.98877,                0.91824,                0.87425,                0.91557,                0.65941,                0.93593,                0.44761,                 1.0765,             0.00082533,             0.00082533,             0.00082533
                     54,                0.95927,                 0.5753,                0.99243,                0.93092,                0.86117,                0.91158,                0.64949,                0.93984,                0.45074,                 1.0921,             0.00080883,             0.00080883,             0.00080883
                     55,                0.96054,                0.57109,                 1.0028,                0.94325,                0.86593,                0.91901,                0.67483,                0.90191,                0.41936,                 1.0725,             0.00079233,             0.00079233,             0.00079233
                     56,                0.95358,                0.56997,                0.99582,                0.94196,                0.86023,                0.91467,                0.66318,                 0.9213,                0.43677,                 1.0773,             0.00077582,             0.00077582,             0.00077582
                     57,                0.94688,                0.55998,                0.98877,                0.93741,                0.87889,                0.92258,                0.66605,                0.93147,                 0.4265,                 1.0859,             0.00075932,             0.00075932,             0.00075932
                     58,                0.93479,                0.54859,                0.98764,                0.94325,                0.86322,                0.91585,                0.67055,                0.91359,                0.42746,                 1.0678,             0.00074282,             0.00074282,             0.00074282
                     59,                0.93707,                0.56052,                0.99349,                0.93224,                0.87839,                0.92213,                0.65734,                0.94386,                0.43044,                 1.0829,             0.00072631,             0.00072631,             0.00072631
                     60,                0.93866,                0.55384,                0.99002,                0.93491,                0.86187,                0.91636,                0.66801,                0.92219,                0.43189,                 1.0782,             0.00070981,             0.00070981,             0.00070981
                     61,                0.92682,                0.54505,                0.97829,                 0.9291,                0.87078,                0.92059,                0.67096,                0.94354,                0.43859,                 1.0879,             0.00069331,             0.00069331,             0.00069331
                     62,                0.91136,                0.53581,                0.97937,                0.94505,                0.86283,                0.91542,                  0.673,                0.90155,                0.42105,                 1.0656,              0.0006768,              0.0006768,              0.0006768
