                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8132,                 2.8649,                 1.6751,                0.50226,                0.43626,                0.42229,                0.19444,                 1.8471,                 1.8131,                 1.6082,              0.0033292,              0.0033292,              0.0033292
                      2,                 1.7163,                 2.0751,                  1.659,                0.43844,                0.34172,                0.31014,                0.13572,                 2.1099,                 2.5914,                 2.0408,              0.0066559,              0.0066559,              0.0066559
                      3,                 1.8426,                 2.2937,                 1.7765,                0.32045,                0.43802,                0.27588,                0.12174,                 2.1094,                 2.5661,                 1.9857,              0.0099761,              0.0099761,              0.0099761
                      4,                 1.9475,                 2.4793,                 1.8909,                 0.4548,                0.39778,                0.36609,                 0.1586,                 2.0265,                 2.0346,                 1.9882,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.8664,                 2.3061,                 1.8641,                0.46262,                0.43151,                0.37122,                0.17308,                 1.9828,                 2.0093,                 1.9685,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.8216,                  2.204,                 1.8197,                 0.5114,                 0.4796,                0.43552,                0.19698,                 1.9816,                 1.8331,                 1.9256,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.7831,                 2.0883,                 1.8097,                0.37845,                0.45633,                0.33457,                0.15175,                  2.009,                  1.935,                 1.9802,              0.0099505,              0.0099505,              0.0099505
                      8,                  1.742,                  2.025,                 1.7727,                0.66149,                0.45454,                0.48212,                0.23022,                 1.8878,                 1.6919,                 1.8555,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.6853,                 1.8841,                  1.739,                0.59523,                0.48617,                 0.5094,                0.23193,                 1.9649,                 1.6542,                 1.8997,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.6755,                 1.8968,                 1.7224,                0.59973,                0.52512,                0.55687,                0.26941,                  1.853,                 1.5285,                 1.8424,              0.0099208,              0.0099208,              0.0099208
