                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.6548,                 1.8306,                 1.7035,                0.65744,                0.56184,                0.55943,                0.26434,                 1.8834,                 1.5106,                 1.8933,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.6379,                 1.7683,                 1.6836,                0.62737,                0.56114,                0.52112,                0.24406,                 1.8942,                  1.573,                 1.8805,               0.009901,               0.009901,               0.009901
                     13,                 1.6126,                 1.7628,                 1.6722,                0.66661,                0.57496,                0.59631,                0.29634,                 1.8307,                 1.4061,                 1.8286,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.5881,                 1.7047,                 1.6594,                0.60385,                0.57863,                0.55712,                 0.2725,                 1.8795,                  1.431,                 1.8323,              0.0098812,              0.0098812,              0.0098812
                     15,                  1.596,                 1.6702,                 1.6646,                0.61417,                0.57071,                0.54015,                0.26322,                 1.8261,                 1.4215,                 1.8238,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.5736,                 1.6692,                 1.6351,                0.54172,                0.58461,                 0.5027,                0.25334,                 1.8542,                 1.4184,                 1.8393,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.5485,                 1.6205,                 1.6247,                0.64957,                0.61125,                0.58023,                0.29489,                 1.8066,                 1.3602,                 1.7942,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.5498,                  1.622,                   1.62,                0.67595,                0.57213,                0.59431,                0.31048,                 1.7773,                 1.3047,                 1.7633,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.5362,                 1.5899,                 1.6142,                0.63887,                0.61733,                0.57709,                0.29539,                 1.7837,                 1.3247,                 1.7927,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.5186,                 1.5474,                 1.5973,                0.69551,                0.63352,                0.62121,                0.30729,                 1.7945,                 1.3124,                 1.7854,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.5111,                 1.5349,                  1.602,                0.66407,                0.61575,                0.62304,                0.32883,                 1.7564,                 1.2856,                  1.762,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.5132,                 1.4985,                 1.5828,                0.65819,                0.60515,                0.60119,                0.32149,                 1.7276,                 1.2859,                 1.7259,               0.009802,               0.009802,               0.009802
                     23,                 1.5035,                 1.4854,                 1.5747,                0.72758,                0.58525,                0.62216,                0.32349,                 1.7522,                 1.2819,                 1.7398,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.4892,                 1.4778,                 1.5646,                 0.6213,                0.59363,                0.58856,                0.31463,                 1.7459,                 1.2312,                 1.7446,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.4689,                 1.4478,                 1.5514,                0.62341,                0.62829,                0.59978,                0.30484,                 1.7838,                 1.2479,                 1.7601,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.4721,                  1.446,                 1.5625,                0.65984,                0.54488,                0.57559,                0.30087,                  1.731,                 1.2863,                 1.7252,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.4757,                 1.4264,                 1.5599,                0.62829,                0.62907,                0.58451,                0.30679,                 1.7405,                 1.2397,                  1.748,              0.0097525,              0.0097525,              0.0097525
                     28,                  1.455,                 1.3964,                 1.5496,                0.68255,                0.62721,                0.63396,                0.33106,                 1.7177,                 1.2148,                  1.739,              0.0097426,              0.0097426,              0.0097426
                     29,                  1.442,                 1.4221,                 1.5431,                0.72976,                0.61381,                0.63391,                0.32919,                 1.7298,                  1.178,                 1.7284,              0.0097327,              0.0097327,              0.0097327
                     30,                 1.4374,                 1.3949,                 1.5278,                0.70999,                0.57982,                0.62507,                0.33489,                   1.71,                 1.1762,                 1.7109,              0.0097228,              0.0097228,              0.0097228
                     31,                  1.435,                 1.3931,                 1.5283,                0.71081,                0.66161,                0.65655,                0.35112,                 1.6838,                 1.1776,                 1.6925,              0.0097129,              0.0097129,              0.0097129
                     32,                 1.4221,                 1.3768,                 1.5231,                0.70636,                 0.6303,                0.64337,                0.34083,                  1.727,                 1.1877,                 1.7203,               0.009703,               0.009703,               0.009703
                     33,                 1.4152,                 1.3516,                 1.5103,                0.72074,                0.67023,                0.66637,                0.35186,                 1.7282,                 1.1584,                 1.7193,              0.0096931,              0.0096931,              0.0096931
                     34,                 1.4156,                 1.3612,                 1.5146,                0.68429,                0.62179,                0.61204,                0.31442,                 1.7334,                 1.1818,                 1.7446,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.4174,                 1.3551,                 1.5217,                0.68077,                0.63505,                0.63093,                0.33218,                 1.6959,                 1.1414,                 1.7416,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.4036,                 1.3239,                 1.5053,                0.66094,                0.68343,                0.64346,                 0.3384,                 1.7279,                 1.1361,                 1.7233,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.3893,                 1.2942,                 1.4928,                0.72326,                0.66152,                 0.6697,                0.35621,                 1.6952,                 1.1155,                 1.6943,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.3853,                  1.307,                 1.4931,                0.68346,                0.66006,                0.64123,                0.34685,                 1.6942,                 1.1339,                 1.7139,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.3885,                 1.3145,                 1.4953,                 0.7231,                0.65555,                0.66064,                0.34656,                 1.6989,                  1.114,                 1.7095,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.3907,                 1.2856,                 1.4919,                0.69983,                0.66703,                0.64665,                0.35229,                 1.6914,                 1.1019,                 1.7007,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.3862,                 1.2735,                 1.4952,                0.71683,                 0.6236,                0.65109,                0.34975,                 1.7068,                 1.1212,                 1.7187,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.3748,                 1.2689,                 1.4851,                 0.6896,                0.68671,                0.65933,                0.34896,                 1.6994,                 1.1028,                 1.7063,               0.009604,               0.009604,               0.009604
                     43,                 1.3635,                 1.2491,                 1.4824,                0.65903,                0.66324,                0.63021,                0.33309,                 1.7137,                 1.1243,                 1.7301,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.3534,                 1.2502,                 1.4683,                0.75128,                0.63007,                0.67039,                0.35321,                 1.7177,                 1.0918,                 1.7373,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.3639,                  1.243,                 1.4729,                0.70138,                0.65087,                0.65322,                0.34761,                 1.7067,                  1.094,                 1.7228,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.3546,                  1.231,                 1.4668,                0.66663,                 0.6402,                0.64088,                0.35303,                 1.6881,                 1.0948,                 1.7096,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.3267,                 1.2275,                 1.4518,                0.72621,                0.63422,                0.65958,                0.35415,                 1.6956,                 1.0681,                 1.7077,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.3376,                 1.2126,                 1.4593,                0.73982,                 0.6447,                0.67491,                0.36264,                 1.6927,                 1.0563,                  1.714,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.3202,                 1.2034,                 1.4362,                 0.7226,                0.65618,                0.67675,                0.36489,                 1.6941,                 1.0628,                 1.7075,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.3364,                 1.1952,                 1.4473,                0.76988,                0.61375,                0.68278,                0.36131,                 1.6882,                 1.0559,                  1.703,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.3116,                   1.17,                 1.4337,                0.75851,                0.60694,                0.67582,                0.35885,                 1.6727,                 1.0597,                 1.6987,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.3193,                 1.1898,                 1.4289,                0.74274,                0.63246,                0.68006,                0.36667,                 1.6735,                  1.049,                 1.6884,               0.009505,               0.009505,               0.009505
                     53,                 1.3052,                 1.1887,                 1.4262,                0.71959,                0.65769,                0.68533,                0.36575,                 1.6733,                 1.0435,                 1.6945,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.3075,                 1.1854,                 1.4305,                0.71396,                0.69308,                0.69248,                0.36789,                 1.6861,                 1.0275,                 1.7082,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.3038,                 1.1558,                 1.4267,                0.69876,                 0.6926,                0.67844,                0.36441,                  1.686,                 1.0302,                 1.7039,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.2958,                 1.1534,                 1.4123,                0.71491,                0.66803,                0.67509,                0.36406,                 1.6883,                 1.0355,                 1.7024,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.3125,                 1.1627,                 1.4267,                0.69794,                0.67701,                0.68663,                0.35943,                 1.6962,                 1.0301,                  1.712,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.2959,                 1.1457,                 1.4189,                 0.6922,                0.67178,                0.67705,                0.35909,                 1.6946,                  1.035,                 1.7137,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.3059,                 1.1354,                 1.4243,                0.73724,                0.63196,                0.67601,                0.35912,                  1.688,                 1.0366,                  1.712,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.2882,                 1.1396,                 1.4152,                 0.7318,                0.61845,                0.66886,                0.36093,                 1.6839,                 1.0395,                 1.7072,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.2699,                 1.1237,                 1.4065,                0.73914,                0.62151,                0.67752,                 0.3639,                 1.6779,                 1.0225,                 1.7056,              0.0094159,              0.0094159,              0.0094159
                     62,                  1.285,                  1.144,                 1.4127,                0.67144,                0.70114,                 0.6775,                0.36408,                 1.6786,                 1.0236,                 1.7077,               0.009406,               0.009406,               0.009406
                     63,                 1.2905,                 1.1214,                 1.4112,                0.70615,                0.66162,                0.67723,                0.36291,                 1.6748,                 1.0213,                 1.7095,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.2769,                 1.1317,                 1.4036,                0.71225,                0.66297,                0.68061,                0.36615,                 1.6659,                 1.0154,                 1.7014,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.2717,                  1.111,                 1.3997,                 0.7267,                0.65543,                0.68343,                 0.3665,                 1.6609,                  1.023,                 1.6972,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.2656,                 1.0966,                 1.3893,                0.70614,                0.66811,                0.68596,                 0.3675,                 1.6607,                 1.0192,                 1.6969,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.2505,                 1.0948,                 1.3899,                0.69854,                0.67177,                0.67817,                0.36572,                 1.6614,                 1.0196,                 1.6985,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.2543,                 1.0802,                 1.3831,                0.70135,                0.68121,                0.67816,                0.36552,                 1.6627,                 1.0199,                  1.697,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.2724,                 1.1088,                 1.3986,                0.70702,                0.66526,                0.67516,                0.36687,                 1.6625,                 1.0064,                 1.6946,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.2561,                 1.0879,                 1.3888,                0.71575,                0.65953,                0.67773,                0.36628,                  1.663,                  1.003,                 1.6969,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.2479,                 1.0767,                 1.3789,                0.70696,                0.67139,                 0.6811,                 0.3702,                 1.6616,                0.99937,                 1.6962,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.2485,                 1.0776,                 1.3815,                0.71279,                0.67287,                0.68052,                0.36876,                 1.6645,                0.99596,                 1.6987,               0.009307,               0.009307,               0.009307
                     73,                 1.2445,                  1.068,                  1.372,                0.69573,                0.69005,                0.67424,                0.36728,                 1.6681,                0.99801,                 1.7014,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.2405,                 1.0752,                 1.3725,                0.70107,                0.67893,                0.67332,                0.36633,                 1.6667,                0.99889,                 1.7017,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.2446,                  1.079,                 1.3746,                0.70313,                0.67603,                0.67294,                0.36725,                  1.663,                0.99647,                    1.7,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.2254,                 1.0483,                 1.3684,                0.70428,                0.67163,                0.67461,                0.36683,                 1.6631,                0.99773,                 1.7026,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.2339,                 1.0514,                 1.3663,                0.70618,                 0.6804,                0.67637,                0.36618,                 1.6643,                0.99501,                 1.7039,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.2253,                 1.0618,                 1.3662,                0.70474,                0.67926,                0.67435,                0.36615,                 1.6635,                0.99399,                 1.7034,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.2282,                 1.0425,                 1.3653,                0.68815,                0.68677,                0.67548,                0.36852,                 1.6615,                0.99349,                 1.7024,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.2228,                 1.0329,                 1.3584,                0.68899,                0.69122,                0.68066,                0.37033,                 1.6608,                0.99181,                 1.7012,              0.0092278,              0.0092278,              0.0092278
                     81,                 1.2141,                 1.0472,                 1.3581,                0.68422,                0.69368,                0.68187,                0.36983,                 1.6627,                0.99138,                 1.7019,              0.0092179,              0.0092179,              0.0092179
                     82,                 1.2072,                 1.0254,                 1.3535,                 0.6875,                 0.6878,                0.68035,                0.37049,                 1.6645,                0.98959,                 1.7033,               0.009208,               0.009208,               0.009208
                     83,                 1.2186,                 1.0262,                 1.3583,                0.68905,                0.69072,                0.68149,                0.37168,                 1.6656,                 0.9893,                 1.7039,              0.0091981,              0.0091981,              0.0091981
                     84,                 1.2188,                 1.0184,                 1.3616,                0.68601,                0.69843,                0.68234,                0.37296,                  1.664,                0.98313,                 1.7035,              0.0091882,              0.0091882,              0.0091882
                     85,                 1.2048,                0.99957,                 1.3482,                 0.6892,                0.70167,                0.68346,                0.37375,                 1.6649,                0.98224,                 1.7044,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.2102,                 1.0296,                 1.3528,                0.69106,                0.69456,                0.68214,                0.37318,                 1.6641,                0.98066,                 1.7027,              0.0091684,              0.0091684,              0.0091684
                     87,                  1.219,                 1.0284,                  1.343,                0.69419,                0.69882,                0.68809,                 0.3737,                 1.6621,                0.98122,                 1.7002,              0.0091585,              0.0091585,              0.0091585
                     88,                 1.2037,                 1.0021,                 1.3353,                0.69702,                0.69838,                0.68722,                0.37433,                 1.6635,                 0.9803,                 1.7009,              0.0091486,              0.0091486,              0.0091486
                     89,                  1.196,                 1.0106,                 1.3315,                0.70913,                0.70037,                0.69041,                0.37406,                 1.6616,                0.97843,                 1.6979,              0.0091387,              0.0091387,              0.0091387
                     90,                  1.196,                 1.0135,                 1.3413,                0.70507,                0.69906,                0.69177,                0.37299,                 1.6623,                0.97915,                 1.6987,              0.0091288,              0.0091288,              0.0091288
                     91,                 1.1955,                 1.0006,                 1.3313,                0.70486,                0.69378,                0.68544,                0.37321,                 1.6624,                0.97716,                 1.6976,              0.0091189,              0.0091189,              0.0091189
                     92,                 1.2027,                0.99736,                 1.3311,                0.70758,                0.69138,                0.68468,                0.37345,                 1.6629,                 0.9769,                 1.6964,               0.009109,               0.009109,               0.009109
                     93,                  1.192,                0.98723,                 1.3295,                0.70864,                0.69115,                  0.685,                0.37314,                 1.6642,                 0.9757,                 1.6973,              0.0090991,              0.0090991,              0.0090991
                     94,                 1.1917,                 1.0033,                 1.3301,                0.70689,                0.69474,                0.68389,                0.37425,                 1.6638,                 0.9726,                  1.697,              0.0090892,              0.0090892,              0.0090892
                     95,                 1.1846,                0.99774,                 1.3213,                0.70592,                0.69578,                0.68466,                0.37461,                 1.6633,                0.97238,                 1.6963,              0.0090793,              0.0090793,              0.0090793
                     96,                 1.1901,                0.99134,                  1.328,                0.70748,                0.69738,                0.68737,                0.37395,                 1.6644,                0.97226,                 1.6979,              0.0090694,              0.0090694,              0.0090694
                     97,                 1.1815,                0.99022,                 1.3212,                0.70906,                0.69531,                0.68801,                0.37468,                 1.6637,                0.97267,                 1.6974,              0.0090595,              0.0090595,              0.0090595
                     98,                 1.1776,                 0.9832,                 1.3186,                0.70741,                0.69744,                0.68941,                0.37507,                 1.6632,                0.97095,                 1.6967,              0.0090496,              0.0090496,              0.0090496
                     99,                 1.1722,                0.97657,                 1.3174,                0.70878,                0.69654,                0.69214,                0.37644,                 1.6612,                0.97085,                 1.6946,              0.0090397,              0.0090397,              0.0090397
                    100,                 1.1772,                0.97734,                 1.3102,                   0.71,                0.69637,                0.69257,                0.37672,                 1.6608,                0.97092,                 1.6942,              0.0090298,              0.0090298,              0.0090298
                    101,                 1.1693,                0.96744,                 1.3136,                0.71407,                0.69428,                0.69585,                0.37696,                 1.6608,                0.97017,                 1.6938,              0.0090199,              0.0090199,              0.0090199
                    102,                 1.1515,                0.95686,                  1.306,                0.71457,                0.68411,                0.69594,                0.37751,                 1.6611,                0.97083,                 1.6943,                0.00901,                0.00901,                0.00901
                    103,                  1.172,                0.98672,                 1.3121,                0.71303,                  0.691,                0.69493,                 0.3778,                 1.6605,                0.97022,                 1.6927,              0.0090001,              0.0090001,              0.0090001
                    104,                  1.175,                0.96126,                  1.314,                0.70913,                0.69173,                0.69467,                0.37765,                 1.6613,                0.96914,                 1.6931,              0.0089902,              0.0089902,              0.0089902
                    105,                 1.1721,                0.97089,                 1.3218,                0.71326,                0.69925,                0.70412,                0.37884,                  1.661,                0.97015,                 1.6922,              0.0089803,              0.0089803,              0.0089803
                    106,                 1.1737,                0.97458,                 1.3171,                0.71526,                0.69925,                0.70415,                0.37916,                 1.6611,                0.96662,                 1.6922,              0.0089704,              0.0089704,              0.0089704
                    107,                 1.1638,                 0.9616,                 1.3148,                0.71773,                0.70151,                0.70511,                0.37882,                 1.6607,                0.96754,                 1.6918,              0.0089605,              0.0089605,              0.0089605
                    108,                 1.1657,                0.97085,                 1.3139,                0.71685,                  0.697,                0.70476,                0.37924,                 1.6606,                0.96599,                 1.6911,              0.0089506,              0.0089506,              0.0089506
                    109,                 1.1404,                 0.9464,                 1.2969,                0.71694,                0.69803,                0.70113,                0.37966,                 1.6601,                0.96538,                 1.6912,              0.0089407,              0.0089407,              0.0089407
                    110,                 1.1492,                0.94346,                 1.3025,                0.71654,                0.69803,                0.70153,                0.38095,                 1.6604,                0.96244,                 1.6915,              0.0089308,              0.0089308,              0.0089308
                    111,                 1.1532,                0.94354,                 1.3011,                0.71569,                0.69372,                0.69917,                0.38017,                 1.6618,                0.96171,                 1.6921,              0.0089209,              0.0089209,              0.0089209
                    112,                 1.1501,                0.93959,                 1.2953,                0.71502,                0.69372,                0.69858,                0.37936,                 1.6606,                0.96276,                 1.6908,               0.008911,               0.008911,               0.008911
                    113,                 1.1522,                0.94493,                 1.2996,                0.71087,                 0.7003,                0.69845,                0.37933,                 1.6598,                0.96277,                 1.6899,              0.0089011,              0.0089011,              0.0089011
                    114,                 1.1476,                0.95757,                 1.3062,                0.71401,                0.70039,                0.70106,                 0.3797,                 1.6604,                0.96185,                 1.6899,              0.0088912,              0.0088912,              0.0088912
                    115,                 1.1572,                0.96614,                 1.3008,                0.70457,                0.70871,                0.70081,                 0.3798,                 1.6594,                 0.9616,                 1.6896,              0.0088813,              0.0088813,              0.0088813
                    116,                 1.1474,                0.94317,                 1.2924,                 0.7517,                0.65866,                0.70034,                0.37946,                 1.6602,                0.96303,                   1.69,              0.0088714,              0.0088714,              0.0088714
                    117,                 1.1463,                0.94139,                 1.3008,                0.74735,                0.65313,                0.69225,                0.37868,                 1.6602,                0.96381,                 1.6902,              0.0088615,              0.0088615,              0.0088615
                    118,                 1.1436,                0.93548,                 1.2927,                0.73645,                0.65753,                0.69175,                0.37716,                 1.6599,                0.96626,                 1.6897,              0.0088516,              0.0088516,              0.0088516
                    119,                 1.1415,                0.92027,                 1.2838,                0.73536,                 0.6599,                0.69019,                0.37754,                 1.6606,                 0.9646,                 1.6901,              0.0088417,              0.0088417,              0.0088417
                    120,                 1.1276,                 0.9264,                   1.28,                 0.7372,                0.66263,                0.69246,                0.37784,                 1.6608,                0.96324,                 1.6902,              0.0088318,              0.0088318,              0.0088318
                    121,                  1.134,                0.92806,                 1.2901,                0.73588,                0.66407,                0.69523,                0.37803,                 1.6617,                0.96349,                 1.6902,              0.0088219,              0.0088219,              0.0088219
                    122,                 1.1379,                0.92557,                 1.2878,                0.73541,                0.66429,                0.69551,                0.37792,                 1.6641,                0.96213,                 1.6927,               0.008812,               0.008812,               0.008812
                    123,                 1.1368,                0.91763,                 1.2811,                0.73887,                0.66432,                0.69762,                0.37759,                 1.6632,                 0.9633,                 1.6908,              0.0088021,              0.0088021,              0.0088021
                    124,                 1.1261,                0.90904,                 1.2756,                0.73109,                0.66772,                0.69795,                0.37777,                 1.6627,                0.96306,                 1.6904,              0.0087922,              0.0087922,              0.0087922
                    125,                  1.139,                0.92901,                 1.2923,                0.74045,                0.66185,                0.69821,                0.37718,                 1.6624,                0.96296,                 1.6905,              0.0087823,              0.0087823,              0.0087823
                    126,                 1.1292,                0.91948,                 1.2777,                0.72772,                0.67159,                0.69825,                0.37722,                 1.6631,                0.96222,                 1.6903,              0.0087724,              0.0087724,              0.0087724
                    127,                 1.1299,                0.91664,                 1.2812,                0.72942,                0.67333,                0.69884,                0.37707,                 1.6641,                0.96158,                 1.6906,              0.0087625,              0.0087625,              0.0087625
                    128,                 1.1232,                0.91218,                 1.2805,                 0.7289,                0.67267,                0.69882,                0.37672,                  1.665,                0.96178,                 1.6913,              0.0087526,              0.0087526,              0.0087526
                    129,                 1.1224,                0.91816,                  1.276,                0.72742,                0.67315,                0.69875,                0.37721,                 1.6664,                 0.9625,                 1.6927,              0.0087427,              0.0087427,              0.0087427
                    130,                  1.121,                0.91553,                 1.2679,                0.72449,                0.67367,                0.69953,                0.37747,                 1.6679,                0.96262,                 1.6944,              0.0087328,              0.0087328,              0.0087328
                    131,                 1.1079,                0.89367,                 1.2627,                0.72427,                0.67384,                0.69907,                0.37729,                 1.6677,                0.96199,                 1.6943,              0.0087229,              0.0087229,              0.0087229
                    132,                 1.1161,                0.91104,                 1.2676,                0.72251,                0.67425,                0.69888,                0.37755,                 1.6684,                0.96453,                  1.695,               0.008713,               0.008713,               0.008713
                    133,                 1.1186,                0.91946,                 1.2742,                0.72421,                0.67281,                0.69952,                0.37699,                 1.6673,                0.96435,                 1.6928,              0.0087031,              0.0087031,              0.0087031
                    134,                 1.1131,                 0.9087,                 1.2677,                0.72608,                0.67506,                0.69985,                0.37779,                 1.6688,                0.96472,                 1.6937,              0.0086932,              0.0086932,              0.0086932
                    135,                  1.112,                0.90867,                 1.2625,                0.73191,                0.66478,                0.69464,                0.37698,                 1.6695,                0.96526,                 1.6944,              0.0086833,              0.0086833,              0.0086833
                    136,                  1.114,                0.90026,                 1.2676,                0.72501,                0.67907,                0.69708,                0.37649,                 1.6706,                0.96351,                 1.6952,              0.0086734,              0.0086734,              0.0086734
                    137,                 1.1107,                0.90332,                 1.2557,                0.72088,                0.68004,                0.69733,                 0.3766,                 1.6713,                 0.9646,                 1.6957,              0.0086635,              0.0086635,              0.0086635
                    138,                 1.0915,                0.88247,                 1.2473,                0.72304,                0.67567,                0.69772,                0.37631,                 1.6727,                0.96437,                 1.6979,              0.0086536,              0.0086536,              0.0086536
                    139,                  1.125,                0.90005,                 1.2812,                0.72137,                0.67501,                0.69833,                0.37626,                 1.6733,                0.96468,                 1.6975,              0.0086437,              0.0086437,              0.0086437
                    140,                 1.1133,                0.90702,                 1.2649,                0.72433,                0.67698,                  0.699,                0.37608,                 1.6733,                0.96534,                 1.6974,              0.0086338,              0.0086338,              0.0086338
                    141,                 1.1052,                0.88127,                 1.2653,                 0.7246,                0.67698,                0.69916,                0.37624,                 1.6734,                0.96436,                 1.6972,              0.0086239,              0.0086239,              0.0086239
                    142,                 1.1113,                0.88342,                 1.2632,                0.72467,                0.67704,                0.69979,                0.37701,                 1.6717,                0.96337,                 1.6947,               0.008614,               0.008614,               0.008614
                    143,                 1.1066,                 0.8938,                  1.254,                0.72303,                0.67629,                0.69765,                0.37677,                 1.6715,                0.96259,                 1.6946,              0.0086041,              0.0086041,              0.0086041
                    144,                 1.1054,                0.90777,                 1.2605,                0.72411,                0.67594,                0.69797,                0.37697,                 1.6715,                0.96269,                 1.6941,              0.0085942,              0.0085942,              0.0085942
                    145,                 1.1044,                0.88808,                 1.2597,                0.72356,                0.67629,                0.69816,                0.37679,                 1.6719,                0.96269,                 1.6941,              0.0085843,              0.0085843,              0.0085843
                    146,                 1.1141,                0.90353,                 1.2587,                 0.7242,                 0.6754,                0.69673,                0.37648,                 1.6724,                0.96165,                 1.6943,              0.0085744,              0.0085744,              0.0085744
                    147,                 1.1026,                0.87121,                 1.2536,                0.72897,                0.67667,                0.70363,                0.37826,                 1.6722,                 0.9601,                  1.694,              0.0085645,              0.0085645,              0.0085645
                    148,                 1.0985,                0.88422,                 1.2465,                0.72646,                0.67391,                0.70159,                0.37773,                 1.6733,                0.95832,                 1.6948,              0.0085546,              0.0085546,              0.0085546
                    149,                 1.0939,                0.87952,                 1.2392,                0.72724,                  0.675,                0.69974,                0.37787,                 1.6734,                0.95704,                 1.6949,              0.0085447,              0.0085447,              0.0085447
                    150,                 1.1068,                0.87624,                 1.2526,                0.72586,                0.67494,                0.69899,                0.37682,                 1.6758,                0.95682,                 1.6985,              0.0085348,              0.0085348,              0.0085348
                    151,                 1.0842,                0.87165,                 1.2382,                0.72515,                0.67423,                0.69887,                0.37723,                 1.6759,                0.95687,                 1.6983,              0.0085249,              0.0085249,              0.0085249
                    152,                 1.0874,                 0.8698,                 1.2488,                0.72368,                0.67633,                0.69986,                0.37785,                 1.6757,                0.95504,                  1.698,               0.008515,               0.008515,               0.008515
                    153,                 1.0834,                0.87276,                 1.2382,                  0.726,                0.67869,                0.70425,                0.37786,                 1.6764,                0.95515,                 1.6984,              0.0085051,              0.0085051,              0.0085051
